period,start,end_exclusive,hours,starting_equity,ending_equity,net_pnl,net_return,buy_hold_return,max_drawdown_within_period,halted_hourly_marks
2022,2022-05-01T00:00:00Z,2023-01-01T00:00:00Z,5880,1000.0,1000.0,0.0,0.0,-0.5636638599366328,0.0,0
2023,2023-01-01T00:00:00Z,2023-03-24T00:00:00Z,1968,1000.0,1010.1766766085649,10.17667660856489,0.010176676608564916,0.6135315535404862,0.00965488677903481,0
