period,start,end_exclusive,hours,starting_equity,ending_equity,net_pnl,net_return,buy_hold_return,max_drawdown_within_period,halted_hourly_marks
2022-05,2022-05-01T00:00:00Z,2022-06-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,-0.2238539025634514,0.0,0
2022-06,2022-06-01T00:00:00Z,2022-07-01T00:00:00Z,720,1000.0,1000.0,0.0,0.0,-0.4074657671512868,0.0,0
2022-07,2022-07-01T00:00:00Z,2022-08-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,0.3378096243162829,0.0,0
2022-08,2022-08-01T00:00:00Z,2022-09-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,-0.10666466528041163,0.0,0
2022-09,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,720,1000.0,1000.0,0.0,0.0,-0.09007340969779765,0.0,0
2022-10,2022-10-01T00:00:00Z,2022-11-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,0.1174557357956334,0.0,0
2022-11,2022-11-01T00:00:00Z,2022-12-01T00:00:00Z,720,1000.0,1000.0,0.0,0.0,-0.1698513688501201,0.0,0
2022-12,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,-0.056476685368157864,0.0,0
2023-01,2023-01-01T00:00:00Z,2023-02-01T00:00:00Z,744,1000.0,995.1471704001567,-4.8528295998432895,-0.004852829599843345,0.36169470486047084,0.006452847026547026,0
2023-02,2023-02-01T00:00:00Z,2023-03-01T00:00:00Z,672,995.1471704001567,1001.9388767411281,6.791706340971359,0.006824826058883682,0.006467830741859304,0.010528213451070245,0
2023-03,2023-03-01T00:00:00Z,2023-03-24T00:00:00Z,552,1001.9388767411281,1012.9625423371714,11.023665596043315,0.011002333427662325,0.1773289296548004,0.008900456105513599,0
