pair,opened_at,quantity,entry,stop,entry_fee,initial_risk,closed_at,exit,exit_fee,pnl,r_multiple,reason
ETH/USDT,1674259200,0.0383,1659.5251179999998,1598.5288268785876,0.06355981201939999,2.497638874288172,1674486000,1597.5697095824603,0.06118691987700823,-2.497638874288172,-1.0,intrabar_stop
ETH/USDT,1675022400,0.0404,1654.8523159999997,1597.2475013377498,0.06685603356639999,2.4972979071283317,1675072800,1596.289152836947,0.06449008177461266,-2.497297907128332,-1.0000000000000002,intrabar_stop
BTC/USDT,1674259200,0.00308,22679.599599999998,21927.784345238382,0.06985316676799999,2.4934637501416317,1675108800,22771.189083999998,0.07013526237871999,0.14210718157327887,0.05699187789082837,channel_exit
ETH/USDT,1675310400,0.0376,1672.132678,1610.2590028534714,0.06287218869280001,2.4861592283708256,1675627200,1609.2928474517594,0.060509411064186155,-2.486159228370837,-1.0000000000000047,intrabar_stop
BTC/USDT,1676462400,0.00436,22457.746568,21947.198814682648,0.09791577503648,2.476950224559262,1676851200,24257.946493999996,0.10576464671383999,7.645191255609678,3.086534069117207,channel_exit
ETH/USDT,1676462400,0.0449,1573.203356,1522.0073821794788,0.0706368306844,2.4786360626826998,1677081600,1612.7517679999999,0.0724125543832,1.6326743137323871,0.6586986844552307,channel_exit
ETH/USDT,1678665600,0.0325,1581.2781979999997,1508.354558235078,0.05139154143499999,2.4998148579092874,1678896000,1633.0495819999999,0.053074111415,1.5781043271500035,0.631288482087768,channel_exit
ETH/USDT,1679097600,0.0269,1790.3335559999998,1700.6283874546284,0.04815997265639999,2.5343966041807624,1679356800,1731.7303379999998,0.046583546092199994,-1.6711700829485991,-0.6593956447825974,channel_exit
BTC/USDT,1678665600,0.0026,22011.248829999997,21106.715466853017,0.05722924695799999,2.4967870010061217,1679515200,26652.79872,0.069297276672,11.941503190370002,4.782748062032514,channel_exit
ETH/USDT,1679587200,0.0284,1838.0921939999998,1753.6022945113814,0.0522018183096,2.5313687706658574,1679616000,1812.7017259999998,0.0514807290184,-0.824771838528003,-0.3258204999941802,end_of_test
