period,start,end_exclusive,hours,starting_equity,ending_equity,net_pnl,net_return,buy_hold_return,max_drawdown_within_period,halted_hourly_marks
2022,2022-05-01T00:00:00Z,2023-01-01T00:00:00Z,5880,1000.0,1000.0,0.0,0.0,-0.562265345378504,0.0,0
2023,2023-01-01T00:00:00Z,2023-03-24T00:00:00Z,1968,1000.0,1012.9625423371714,12.962542337171385,0.012962542337171312,0.6135315535404862,0.010528213451070245,0
